iPad2,2 : 2nd Gen iPad GSM ; Apple A5 ; PowerVR SGX543MP2 ; 9.7" 1024x768 LED-backlit IPS Display
iPad2,3 : 2nd Gen iPad CDMA ; Apple A5 ; PowerVR SGX543MP2 ; 9.7" 1024x768 LED-backlit IPS Display
iPad2,4 : 2nd Gen iPad New Revision ; Apple A5 ; PowerVR SGX543MP2 ; 9.7" 1024x768 LED-backlit IPS Display
iPad3,1 : 3rd Gen iPad ; Apple A5X ; PowerVR SGX543MP4 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad3,2 : 3rd Gen iPad CDMA ; Apple A5X ; PowerVR SGX543MP4 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad3,3 : 3rd Gen iPad GSM ; Apple A5X ; PowerVR SGX543MP4 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad2,5 : iPad mini ; Apple A5 ; PowerVR SGX543MP2 ; 7.9" 1024x768 LED-Backlit IPS Display
iPad2,6 : iPad mini GSM+LTE ; Apple A5 ; PowerVR SGX543MP2 ; 7.9" 1024x768 LED-Backlit IPS Display
iPad2,7 : iPad mini CDMA+LTE ; Apple A5 ; PowerVR SGX543MP2 ; 7.9" 1024x768 LED-Backlit IPS Display
iPad3,4 : 4th Gen iPad ; Apple A6X ; PowerVR SGX554MP4 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad3,5 : 4th Gen iPad GSM+LTE ; Apple A6X ; PowerVR SGX554MP4 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad3,6 : 4th Gen iPad CDMA+LTE ; Apple A6X ; PowerVR SGX554MP4 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad4,1 : iPad Air (WiFi) ; Apple A7 ; PowerVR G6430 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad4,2 : iPad Air (GSM+CDMA) ; Apple A7 ; PowerVR G6430 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad4,3 : iPad Air (China) ; Apple A7 ; PowerVR G6430 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad4,4 : iPad mini Retina (WiFi) ; Apple A7 ; PowerVR G6430 ; 7.9" 2048x1536 LED-backlit IPS Display
iPad4,5 : iPad mini Retina (GSM+CDMA) ; Apple A7 ; PowerVR G6430 ; 7.9" 2048x1536 LED-backlit IPS Display
iPad4,6 : iPad mini Retina (China) ; Apple A7 ; PowerVR G6430 ; 7.9" 2048x1536 LED-backlit IPS Display
iPad4,7 : iPad mini 3 (WiFi) ; Apple A7 ; PowerVR G6430 ; 7.9" 2048x1536 LED-backlit IPS Display
iPad4,8 : iPad mini 3 (GSM+CDMA) ; Apple A7 ; PowerVR G6430 ; 7.9" 2048x1536 LED-backlit IPS Display
iPad4,9 : iPad Mini 3 (China) ; Apple A7 ; PowerVR G6430 ; 7.9" 2048x1536 LED-backlit IPS Display
iPad5,1 : iPad mini 4 (WiFi) ; Apple A8 ; PowerVR GX6450 ; 7.9" 2048x1536 LED-backlit IPS Display
iPad5,2 : iPad mini 4 (WiFi+Cellular) ; Apple A8 ; PowerVR GX6450 ; 7.9" 2048x1536 LED-backlit IPS Display
iPad5,3 : iPad Air 2 (WiFi) ; Apple A8X ; PowerVR GXA6850 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad5,4 : iPad Air 2 (Cellular) ; Apple A8X ; PowerVR GXA6850 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad6,3 : iPad Pro (9.7 inch, WiFi) ; Apple A9X ; PowerVR Series 7XT ; 9.7" 2048x1536 LED-backlit IPS Display
